City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,22.89,81,100,6.95,PN,1698535607
1,iqaluit,63.7506,-68.5145,-14.15,71,0,5.66,CA,1698535630
2,invercargill,-46.4,168.35,13.34,64,71,2.68,NZ,1698535613
3,moranbah,-22.0016,148.0466,24.29,44,14,7.3,AU,1698535772
4,harnai,30.1005,67.9374,20.06,37,0,1.63,PK,1698535773
5,susuman,62.7833,148.1667,-17.23,99,92,0.45,RU,1698535684
6,waitangi,-43.9535,-176.5597,12.68,77,27,3.58,NZ,1698535610
7,albany,42.6001,-73.9662,14.82,61,37,1.79,US,1698535460
8,tura,25.5198,90.2201,18.59,88,0,1.71,IN,1698535639
9,blythe,33.6103,-114.5964,28.25,9,0,1.54,US,1698535774
10,port-aux-francais,-49.35,70.2167,4.61,97,100,9.78,TF,1698535609
11,petropavlovsk-kamchatsky,53.0452,158.6483,3.03,59,0,4.0,RU,1698535658
12,laramie,41.3114,-105.5911,-3.79,79,100,5.14,US,1698535649
13,zeya,53.75,127.2667,-1.4,72,100,2.44,RU,1698535774
14,port elizabeth,-33.918,25.5701,12.16,69,0,2.57,ZA,1698535624
15,al jawf,29.5,38.75,18.61,84,100,5.86,SA,1698535699
16,ust-nera,64.5667,143.2,-17.51,98,98,1.04,RU,1698535705
17,yellowknife,62.456,-114.3525,0.23,82,75,5.66,CA,1698535400
18,west island,-12.1568,96.8225,25.99,73,100,9.26,CC,1698535641
19,pizarro,4.9533,-77.366,23.88,92,100,4.24,CO,1698535687
20,mirny,62.5353,113.9611,-8.36,86,66,4.08,RU,1698535776
21,stanley,54.868,-1.6985,10.16,93,75,4.63,GB,1698535506
22,remire-montjoly,4.9167,-52.2667,28.02,83,0,3.09,GF,1698535690
23,puerto ayora,-0.7393,-90.3518,26.98,90,72,4.02,EC,1698535622
24,bilibino,68.0546,166.4372,-20.89,96,25,1.08,RU,1698535612
25,inhambane,-23.865,35.3833,21.43,82,21,2.22,MZ,1698535777
26,ouadda,8.0777,22.4007,20.39,93,95,1.85,CF,1698535777
27,grytviken,-54.2811,-36.5092,2.32,94,93,4.71,GS,1698535610
28,lihue,21.9789,-159.3672,28.58,66,0,5.14,US,1698535643
29,thompson,55.7435,-97.8558,-4.91,86,75,2.06,CA,1698535629
30,arraial do cabo,-22.9661,-42.0278,24.92,88,75,6.17,BR,1698535664
31,lusambo,-4.9667,23.45,21.28,98,88,0.64,CD,1698535779
32,moyynkum,44.2914,72.9469,15.49,55,100,2.75,KZ,1698535779
33,kingston,17.997,-76.7936,30.53,73,40,3.09,JM,1698535371
34,atafu village,-8.5421,-172.5159,28.57,73,24,4.12,TK,1698535620
35,shinjo,38.7586,140.3008,13.49,92,99,0.69,JP,1698535779
36,dwarka,22.2394,68.9678,26.64,73,2,4.38,IN,1698535780
37,olonkinbyen,70.9221,-8.7187,-0.53,71,99,2.6,SJ,1698535365
38,veenendaal,52.0167,5.55,12.77,95,100,8.35,NL,1698535780
39,saipan,15.1355,145.701,29.39,89,40,3.6,MP,1698535628
40,zaozersk,69.4005,32.4476,-8.76,95,80,1.02,RU,1698535715
41,san julian,21.0167,-102.1667,25.22,31,63,1.7,MX,1698535781
42,saldanha,-33.0117,17.9442,12.03,65,0,8.79,ZA,1698535674
43,papatowai,-46.5619,169.4708,12.58,56,56,1.85,NZ,1698535375
44,rongelap,11.1635,166.8941,28.45,77,22,6.88,MH,1698535782
45,bukama,-9.2,25.85,21.64,91,99,0.98,CD,1698535782
46,margaret river,-33.95,115.0667,15.27,83,100,4.34,AU,1698535518
47,springbok,-29.6643,17.8865,14.07,30,0,10.61,ZA,1698535782
48,klyuchi,52.2667,79.1667,-1.1,51,100,4.81,RU,1698535614
49,dudinka,69.4058,86.1778,-14.1,92,72,5.81,RU,1698535663
50,vadso,70.0744,29.7487,-1.91,80,100,2.57,NO,1698535691
51,okhotsk,59.3833,143.3,-4.11,83,99,5.26,RU,1698535783
52,bobo-dioulasso,11.1771,-4.2979,25.25,83,0,0.51,BF,1698535784
53,alofi,-19.0595,-169.9187,27.94,65,36,8.23,NU,1698535634
54,ola,59.5833,151.2833,-1.04,67,95,2.74,RU,1698535679
55,zhuangyuan,37.2975,120.8256,13.16,59,85,1.95,CN,1698535784
56,tolga,34.7222,5.3785,23.45,40,100,2.55,DZ,1698535784
57,crane,31.3974,-102.3501,25.59,52,18,9.72,US,1698535785
58,longyearbyen,78.2186,15.6401,-3.09,86,75,3.09,SJ,1698535616
59,college,64.8569,-147.8028,-1.72,83,75,0.45,US,1698535634
60,guilin,25.2819,110.2864,19.06,78,91,1.64,CN,1698535785
61,uturoa,-16.7333,-151.4333,26.39,76,98,5.58,PF,1698535650
62,mount isa,-20.7333,139.5,29.87,14,19,5.66,AU,1698535697
63,bethel,41.3712,-73.414,24.05,53,100,2.57,US,1698535342
64,aasiaat,68.7098,-52.8699,-10.59,94,80,3.55,GL,1698535630
65,puerto natales,-51.7236,-72.4875,3.22,87,100,2.67,CL,1698535360
66,sinabang,2.4803,96.3801,25.53,86,69,0.24,ID,1698535675
67,gadzhiyevo,69.2551,33.3362,-6.57,94,94,1.71,RU,1698535680
68,senj,44.9894,14.9058,17.86,80,38,4.88,HR,1698535786
69,hermanus,-34.4187,19.2345,13.79,53,29,9.09,ZA,1698535609
70,gorontalo,0.5412,123.0595,25.7,66,99,0.78,ID,1698535787
71,zadar,44.1197,15.2422,14.34,94,20,2.06,HR,1698535787
72,las palmas,28.4204,-14.0131,20.44,73,75,1.03,ES,1698535787
73,punta arenas,-53.15,-70.9167,5.06,65,75,4.12,CL,1698535360
74,lorengau,-2.0226,147.2712,28.01,82,97,4.6,PG,1698535628
75,dunedin,-45.8742,170.5036,12.11,71,86,2.24,NZ,1698535670
76,hawaiian paradise park,19.5933,-154.9731,28.73,72,40,3.09,US,1698535615
77,tiksi,71.6872,128.8694,-10.29,86,100,5.64,RU,1698535613
78,marksville,31.128,-92.0662,29.03,44,22,3.4,US,1698535512
79,edinburgh of the seven seas,-37.0676,-12.3116,12.93,87,65,11.86,SH,1698535365
80,ko samui,9.5357,99.9357,27.95,83,20,1.03,TH,1698535789
81,santiago de cao,-7.9589,-79.2392,19.07,88,75,4.63,PE,1698535789
82,avarua,-21.2078,-159.775,25.03,61,75,4.63,CK,1698535641
83,ciudad lazaro cardenas,17.9583,-102.2,28.51,78,93,3.29,MX,1698535677
84,udachny,66.4167,112.4,-20.12,100,57,3.22,RU,1698535631
85,geraldton,-28.7667,114.6,16.23,67,1,7.72,AU,1698535612
86,nova sintra,14.8667,-24.7167,23.52,76,37,7.65,CV,1698535724
87,mukalla,14.5425,49.1242,25.92,73,4,2.13,YE,1698535516
88,waslala,13.2333,-85.3833,23.85,93,51,0.89,NI,1698535790
89,tofol,5.3248,163.0078,30.88,70,75,3.09,FM,1698535692
90,luderitz,-26.6481,15.1594,16.36,60,0,9.19,NA,1698535615
91,fortuna,40.5982,-124.1573,16.63,69,0,5.14,US,1698535720
92,meadow lakes,61.6247,-149.6011,6.72,64,20,0.0,US,1698535790
93,whitehorse,60.7161,-135.0538,-4.57,100,100,3.6,CA,1698535611
94,magadan,59.5667,150.8,-1.71,74,97,2.92,RU,1698535791
95,chitungwiza,-18.0127,31.0756,20.25,46,0,4.45,ZW,1698535791
96,utrik,11.2278,169.8474,28.39,75,80,8.15,MH,1698535402
97,kirakira,-10.4544,161.9205,28.31,78,62,2.93,SB,1698535642
98,kapuskasing,49.4169,-82.4331,-1.95,80,75,1.54,CA,1698535741
99,nchelenge,-9.3451,28.734,22.34,79,24,1.11,ZM,1698535792
100,vorgashor,67.5833,63.95,-16.9,100,98,1.13,RU,1698535379
101,ciudad guayana,8.3533,-62.6528,29.7,51,99,1.65,VE,1698535792
102,blackmans bay,-43.0167,147.3167,14.85,59,97,0.89,AU,1698535624
103,la'ie,21.6477,-157.9253,30.98,59,20,3.27,US,1698535792
104,montepuez,-13.1256,38.9997,21.93,86,46,3.45,MZ,1698535792
105,la ronge,55.1001,-105.2842,-4.86,80,75,3.09,CA,1698535693
106,tadine,-21.55,167.8833,22.87,69,14,7.83,NC,1698535718
107,shumikha,55.2261,63.2961,-3.69,95,99,3.99,RU,1698535793
108,khandyga,62.6667,135.6,-14.23,91,81,1.83,RU,1698535793
109,iskateley,67.6803,53.1512,-12.21,90,100,3.58,RU,1698535624
110,lluta,-16.0147,-72.0142,9.26,85,98,3.26,PE,1698535793
111,sao jose da coroa grande,-8.8978,-35.1478,25.67,71,98,5.46,BR,1698535674
112,hilo,19.7297,-155.09,28.85,71,40,3.09,US,1698535482
113,san patricio,28.017,-97.5169,29.74,67,38,6.37,US,1698535686
114,kasama,-10.2129,31.1808,20.13,64,78,0.59,ZM,1698535794
115,juneau,58.3019,-134.4197,4.0,90,100,0.0,US,1698535794
116,abhar,36.1468,49.218,13.25,33,17,2.65,IR,1698535794
117,micheweni,-4.9667,39.8333,25.69,87,82,3.02,TZ,1698535794
118,veraval,20.9,70.3667,26.43,62,100,3.38,IN,1698535559
119,lata,40.1629,-8.3327,17.73,93,99,4.68,PT,1698535674
120,ushuaia,-54.8,-68.3,5.81,61,75,6.17,AR,1698535633
121,poronaysk,49.2167,143.1167,2.39,60,3,0.98,RU,1698535795
122,norfolk,42.1668,-71.2495,23.06,67,0,2.57,US,1698535795
123,novo horizonte,-21.4681,-49.2208,24.19,86,93,0.89,BR,1698535503
124,cuito,-12.3833,16.9333,15.93,89,100,1.84,AO,1698535795
125,tan-tan,28.438,-11.1032,19.96,76,97,2.17,MA,1698535796
126,maslyanino,54.3436,84.2111,-6.71,92,11,1.49,RU,1698535796
127,wajir,1.7471,40.0573,25.49,76,72,8.29,KE,1698535796
128,lichinga,-13.3128,35.2406,20.05,60,0,4.12,MZ,1698535796
129,palora,-1.7,-77.9333,22.06,93,100,0.16,EC,1698535796
130,columbia falls,48.3725,-114.1815,-0.88,67,75,0.0,US,1698535796
131,al hasaheisa,14.7526,33.2984,27.77,56,94,3.69,SD,1698535796
132,sitka,57.0531,-135.33,8.94,61,100,2.06,US,1698535677
133,tolanaro,-25.0319,46.9987,24.04,94,20,9.77,MG,1698535615
134,port mathurin,-19.6833,63.4167,24.21,79,12,3.83,MU,1698535609
135,pumiao,22.75,108.4833,21.22,94,100,0.52,CN,1698535797
136,talnakh,69.4865,88.3972,-14.33,96,45,0.98,RU,1698535663
137,bodaybo,57.8506,114.1933,-9.6,86,27,1.79,RU,1698535644
138,afaahiti,-17.75,-149.2833,27.93,76,89,3.27,PF,1698535687
139,cockburn town,21.4612,-71.1419,28.0,77,34,9.06,TC,1698535650
140,sausset-les-pins,43.3314,5.1043,18.94,77,20,6.17,FR,1698535798
141,xifeng,42.7372,124.7222,6.39,47,15,1.87,CN,1698535798
142,wailua homesteads,22.0669,-159.378,28.24,67,0,5.14,US,1698535376
143,dongsheng,39.8161,109.9776,8.09,38,8,4.3,CN,1698535798
144,demre,36.2537,29.9777,19.69,75,100,1.43,TR,1698535799
145,san antonio de pale,-1.4014,5.6325,26.04,80,4,2.9,GQ,1698535681
146,porto murtinho,-21.6989,-57.8825,26.35,74,97,0.72,BR,1698535799
147,bredasdorp,-34.5322,20.0403,12.92,51,89,5.93,ZA,1698535612
148,kailua-kona,19.6406,-155.9956,30.33,74,40,4.63,US,1698535423
149,rio grande,-32.035,-52.0986,21.64,95,91,3.09,BR,1698535613
150,flying fish cove,-10.4217,105.6791,24.82,88,40,3.6,CX,1698535653
151,bullhead city,35.1478,-114.5683,27.68,18,0,6.17,US,1698535598
152,alice springs,-23.7,133.8833,24.75,10,59,3.09,AU,1698535623
153,saint-pierre,-21.3393,55.4781,22.82,73,0,1.03,RE,1698535651
154,qaqortoq,60.7167,-46.0333,0.31,83,58,0.76,GL,1698535366
155,enewetak,11.3474,162.3373,28.7,74,77,5.22,MH,1698535683
156,tazacorte,28.629,-17.9293,21.75,96,100,0.51,ES,1698535720
157,chu,43.5983,73.7614,15.59,53,100,4.17,KZ,1698535801
158,khovd,48.0056,91.6419,-2.59,53,56,0.89,MN,1698535635
159,bulawayo,-20.15,28.5833,21.78,29,22,2.79,ZW,1698535801
160,saint john,45.2727,-66.0677,15.0,94,75,0.0,CA,1698535531
161,villeneuve-sur-yonne,48.0825,3.2969,15.65,76,100,8.1,FR,1698535802
162,ekibastuz,51.6667,75.3667,-0.74,95,100,5.39,KZ,1698535803
163,jamestown,42.097,-79.2353,10.77,79,75,1.79,US,1698535532
164,yarmouth,41.7057,-70.2286,21.26,85,0,3.6,US,1698535804
165,zhaqsy,51.9083,67.3133,-0.03,99,100,2.81,KZ,1698535810
166,minas de marcona,-15.2119,-75.1103,14.94,84,73,5.05,PE,1698535812
167,yemetsk,63.4721,41.7941,-3.67,94,100,2.69,RU,1698535812
168,grand rapids,42.9634,-85.6681,9.55,66,75,1.54,US,1698535640
169,ilulissat,69.2167,-51.1,-3.99,74,86,8.75,GL,1698535639
170,labytnangi,66.6572,66.4183,-12.83,91,80,1.5,RU,1698535813
171,sovetskaya gavan',48.9723,140.2878,0.61,56,9,1.47,RU,1698535666
172,howard springs,-12.497,131.047,30.49,68,28,1.42,AU,1698535813
173,guerrero negro,27.9769,-114.0611,20.06,69,0,8.12,MX,1698535813
174,saint-mandrier-sur-mer,43.078,5.929,18.62,86,75,1.79,FR,1698535814
175,sarina,-21.4333,149.2167,23.67,1,88,5.16,AU,1698535815
176,dampit,-8.2116,112.7493,22.64,76,75,1.42,ID,1698535709
177,linhares,-19.3911,-40.0722,24.39,83,93,3.69,BR,1698535704
178,keflavik,64.0049,-22.5624,4.24,65,0,2.06,IS,1698535621
179,sao francisco,-15.9486,-44.8644,25.56,68,89,1.25,BR,1698535815
180,kudahuvadhoo,2.6708,72.8944,27.42,79,100,6.01,MV,1698535816
181,mangai,-4.05,19.5333,24.1,81,99,0.33,CD,1698535816
182,coquimbo,-29.9533,-71.3436,15.85,77,0,6.69,CL,1698535647
183,happy valley-goose bay,53.3168,-60.3315,3.17,93,100,2.57,CA,1698535637
184,bikenibeu village,1.3673,173.1241,30.98,74,20,3.09,KI,1698535817
185,show low,34.2542,-110.0298,16.16,29,0,9.77,US,1698535761
186,sault ste. marie,46.5168,-84.3333,4.16,67,75,2.06,CA,1698535537
187,pampierstad,-27.7832,24.6877,12.36,51,0,7.52,ZA,1698535818
188,ashburton,-37.8626,145.0794,20.21,59,62,0.45,AU,1698535818
189,buenos aires,-34.6132,-58.3772,24.94,75,0,2.06,AR,1698535818
190,ghat,24.9647,10.1728,25.7,21,20,1.11,LY,1698535818
191,the pas,53.8251,-101.2541,-2.99,68,75,6.69,CA,1698535819
192,novoishimskiy,53.1981,66.7694,-1.48,96,98,3.73,KZ,1698535819
193,taulaga,-11.0553,-171.0883,28.8,70,73,4.29,AS,1698535819
194,lebu,-37.6167,-73.65,9.47,79,95,7.95,CL,1698535438
195,dapa,9.7594,126.0531,27.91,74,45,1.58,PH,1698535819
196,alaghsas,17.0187,8.0168,26.28,12,73,4.25,NE,1698535820
197,languyan,5.2618,120.0807,28.52,69,64,0.67,PH,1698535820
198,metlili chaamba,32.2667,3.6333,23.52,19,40,0.0,DZ,1698535820
199,constantia,44.1833,28.65,14.38,53,60,2.31,RO,1698535683
200,nuuk,64.1835,-51.7216,-3.66,80,75,6.71,GL,1698535677
201,las heras,-46.5419,-68.9359,7.48,43,58,12.23,AR,1698535821
202,broome,42.2506,-75.833,13.12,75,0,1.54,US,1698535669
203,hithadhoo,-0.6,73.0833,27.16,81,32,7.88,MV,1698535625
204,tutoia,-2.7619,-42.2744,26.83,75,41,9.23,BR,1698535822
205,shatrovo,56.5167,64.6333,-5.78,89,100,4.35,RU,1698535822
206,waingapu,-9.6567,120.2641,27.3,68,21,2.13,ID,1698535643
207,pagar alam,-4.0167,103.2667,22.57,52,37,0.77,ID,1698535822
208,malango,-2.9627,119.9001,25.6,50,37,0.82,ID,1698535823
209,forster,-32.1667,152.5167,20.72,57,28,3.7,AU,1698535823
210,hamilton,39.1834,-84.5333,13.28,90,100,4.12,US,1698535408
211,ancud,-41.8697,-73.8203,7.58,79,80,11.24,CL,1698535615
212,suva,-18.1416,178.4415,28.71,65,75,6.17,FJ,1698535534
213,fort frances,48.5999,-93.4003,-3.24,77,90,0.45,CA,1698535823
214,port douglas,-16.4833,145.4667,24.58,71,94,5.9,AU,1698535705
215,barra de santo antonio,-9.4047,-35.5072,25.6,77,100,4.97,BR,1698535824
216,conde,-7.2597,-34.9075,25.7,78,40,3.6,BR,1698535824
217,vila velha,-20.3297,-40.2925,25.97,83,40,4.12,BR,1698535686
218,georgetown,5.4112,100.3354,26.64,94,20,1.54,MY,1698535487
219,polyarnyy,69.1989,33.4478,-6.34,93,96,1.59,RU,1698535695
220,kodiak,57.79,-152.4072,7.73,93,100,8.23,US,1698535463
221,tebessa,35.4042,8.1242,21.6,26,40,2.57,DZ,1698535825
222,nemuro,43.3236,145.575,12.46,76,97,3.8,JP,1698535648
223,ar rass,25.8694,43.4973,21.84,43,95,2.99,SA,1698535825
224,kapit,2.0167,112.9333,24.64,95,80,0.37,MY,1698535826
225,borkum,53.5809,6.6915,10.97,92,100,10.78,DE,1698535826
226,port lincoln,-34.7333,135.8667,13.64,59,16,3.66,AU,1698535682
227,ribeira grande,38.5167,-28.7,17.65,66,100,1.79,PT,1698535663
228,pingliang,35.5392,106.6861,11.22,62,0,0.66,CN,1698535826
229,haiku-pauwela,20.9219,-156.3051,29.01,58,40,10.29,US,1698535654
230,tazovsky,67.4667,78.7,-14.33,91,51,4.28,RU,1698535661
231,anadyr,64.75,177.4833,2.28,100,100,5.0,RU,1698535680
232,severo-yeniseyskiy,60.3725,93.0408,-9.12,81,100,7.15,RU,1698535827
233,bonthe,7.5264,-12.505,25.58,87,9,1.31,SL,1698535678
234,dul'durga,50.6761,113.5931,-4.66,47,81,6.34,RU,1698535827
235,le vauclin,14.5452,-60.8388,25.03,94,100,2.57,MQ,1698535828
236,cannonvale,-20.2833,148.7,24.66,56,67,7.73,AU,1698535828
237,mbulu,-3.85,35.5333,16.03,88,51,4.17,TZ,1698535828
238,ts'alenjikha,42.6044,42.0682,18.63,65,100,1.21,GE,1698535829
239,mawlamyinegyunn,16.3833,95.2667,24.42,91,84,1.51,MM,1698535829
240,coxim,-18.5067,-54.76,28.34,59,66,2.59,BR,1698535830
241,ustka,54.5805,16.8619,5.36,77,100,5.34,PL,1698535830
242,jumla,29.2747,82.1838,7.01,63,100,1.68,NP,1698535830
243,kalmunai,7.4167,81.8167,25.26,86,74,1.27,LK,1698535709
244,ormara,25.2088,64.6357,26.71,69,0,4.01,PK,1698535831
245,puerto aysen,-45.4,-72.7,4.38,99,100,2.11,CL,1698535645
246,saint-francois,46.4154,3.9054,15.69,60,0,7.2,FR,1698535831
247,santa elena de uairen,4.6167,-61.1333,24.88,60,98,1.2,VE,1698535408
248,savanna-la-mar,18.219,-78.1332,27.97,76,18,2.78,JM,1698535832
249,la passe,45.5549,-0.8967,15.13,87,100,8.8,FR,1698535666
250,zalingei,12.9096,23.4741,26.4,50,86,1.32,SD,1698535720
251,shortandy,51.7006,70.9994,0.06,99,100,3.97,KZ,1698535832
252,mejit,10.2753,170.8646,28.45,75,45,8.37,MH,1698535673
253,nantucket,41.2835,-70.0995,19.45,93,0,5.14,US,1698535693
254,isafjordur,66.0755,-23.124,2.18,86,99,2.53,IS,1698535612
255,tame,6.461,-71.73,23.17,95,100,1.99,CO,1698535833
256,boa vista,2.8197,-60.6733,31.99,51,20,2.06,BR,1698535833
257,erenhot,43.6475,111.9767,8.64,35,38,4.6,CN,1698535834
258,tbeng meanchey,13.8167,104.9667,24.4,97,98,1.3,KH,1698535834
259,codroipo,45.96,12.9792,14.34,89,0,2.06,IT,1698535834
260,doctor alberto oviedo mota,32.2275,-115.1697,30.0,12,0,1.7,MX,1698535834
261,tibanesti,46.9167,27.3333,12.31,62,3,1.29,RO,1698535834
262,chinde,26.8418,88.0763,13.37,73,26,2.01,NP,1698535613
263,saint-louis,16.3333,-15.0,29.8,30,17,4.28,SN,1698535669
264,choix,26.7092,-108.3219,27.1,49,0,1.4,MX,1698535835
265,itamaraca,-7.7478,-34.8256,27.03,72,79,4.07,BR,1698535598
266,nasir,15.5894,32.5634,28.81,49,73,5.7,SD,1698535835
267,villa gesell,-37.2639,-56.973,16.67,81,5,6.24,AR,1698535836
268,zhanaozen,43.3,52.8,17.29,52,89,2.88,KZ,1698535836
269,borogontsy,62.6683,131.1683,-5.26,86,100,4.16,RU,1698535837
270,amos,48.5669,-78.1162,-2.05,76,97,3.32,CA,1698535587
271,mil'kovo,55.6078,37.7956,0.33,98,100,4.89,RU,1698535403
272,muntok,-2.0667,105.1833,26.33,83,49,3.23,ID,1698535837
273,antofagasta,-23.65,-70.4,16.6,82,14,3.08,CL,1698535733
274,retreat,38.8245,-85.8533,13.53,65,100,2.65,US,1698535838
275,ballycastle,55.2044,-6.243,11.97,88,100,9.89,GB,1698535838
276,badger,64.8,-147.5333,-1.77,90,20,0.0,US,1698535838
277,landeck,47.1301,10.5636,9.44,86,70,3.55,AT,1698535838
278,dakhla,23.6848,-15.958,20.89,89,6,8.21,EH,1698535839
279,lastoursville,-0.8143,12.7287,24.48,82,96,0.85,GA,1698535839
280,gaspe,48.8334,-64.4819,10.12,66,40,9.26,CA,1698535839
